state,monument_domestic_2019,monument_foreign_2019,monument_domestic_2020,monument_foreign_2020
Andhra Pradesh,262949,1008,116120,137
Assam,277848,1557,136764,309
Bihar,910849,40661,303423,303621
Chandigarh,131210,118,41424,89
Chhattisgarh,63759,96,44742,44746
Delhi,6158331,581350,1347436,8832
Goa,837898,8104,379726,340
Gujarat,1023395,18509,320408,548
Himachal Pradesh,164745,3467,153577,461
Jammu & Kashmir,22280,36,13651,8
Karnataka,3839739,79526,1338446,2119
Kerala,1044418,83629,247969,560
Ladakh,56639,5671,2047,6
Madhya Pradesh,1953517,61743,802675,792
Maharashtra,7531753,129849,1271471,924
Odisha,2404593,9249,651825,230
Rajasthan,1587872,115186,669144,785
Tamil Nadu,1995106,63253,1109582,34241
Telengana,2875042,28652,888983,1148
Uttar Pradesh,9169875,1522590,2701057,14892
West Bengal,1295257,2307,612606,1071
