region,country,arrivals,business_pct,leisure_pct,medical_pct,diaspora_pct,others_pct
North America,Total,1863892,10.03,40.9,0.09,27.97,21.01
Central & South America,Total,98926,20.24,64.31,0.17,3.38,11.9
Western Europe,Total,2178441,17.25,45.68,0.1,20.23,16.74
Eastern Europe,Total,456481,12.42,71.53,5.15,1.69,9.21
Africa,Total,362308,18.67,31.16,14.46,7.52,28.19
West Asia,Total,431943,9.89,50.44,22.38,2.03,15.26
South Asia,Total,3375819,5.83,68.25,13.08,1.22,11.62
South East Asia,Total,930540,10.67,58.29,0.64,8.38,22.02
East Asia,Total,782225,49.48,39.35,0.05,1.76,9.37
Australasia,Total,438939,7.97,37.28,0.5,39.32,14.93
