s_no,state,domestic_2019,foreign_2019,domestic_2020,foreign_2020,growth_domestic,growth_foreign,total_2019,foreign_share,domestic_norm,foreign_share_norm,gap_potential,monument_domestic_2019,monument_foreign_2019,monument_domestic_2020,monument_foreign_2020,resilience_domestic,resilience_norm,monument_domestic_norm,medical_potential,niche_potential,overall_potential
1,A&N Island,505398,16206,191207,5412,-62.17,-66.6,521604,3.1069547012676284,0.0009301384634551066,0.11771241846055543,0.000820649615418621,0.0,0.0,,,37.83,0.5680773498177207,0.0,0.4354815347925316,0.2745950093012106,0.3550382720468711
2,Andhra Pradesh,237051508,280356,70828590,67591,-70.12,-75.89,237331864,0.118128259423269,0.44237254725231623,0.003021859549734293,0.4410357595458615,0.0,0.0,,,29.879999999999995,0.4420668885718814,0.0,0.6086625276075707,0.37065658002358925,0.48965955381557996
3,Arunachal Pradesh,555639,7825,42871,961,-92.28,-87.72,563464,1.3887311345534055,0.0010238982300391404,0.05177884050458901,0.0009708819668930127,0.0,0.0,,,7.719999999999999,0.09082263433190686,0.0,0.312122697440211,0.16519480706479814,0.23865875225250455
4,Assam,5447805,26878,1266898,7285,-76.74,-72.9,5474683,0.49095080025638016,0.010153659625121762,0.017328219057285987,0.009977714786904531,0.0,0.0,,,23.260000000000005,0.3371374227294343,0.0,0.4000042249516932,0.23422353773004612,0.31711388134086965
5,Bihar,33990038,1093141,5638024,308080,-83.41,-71.82,35083179,3.1158550369680014,0.06341918188517043,0.1180539520008368,0.05593229683096618,0.0,0.0,,,16.590000000000003,0.2314154382627993,0.0,0.35937611863265684,0.2060005622368669,0.2826883404347619
6,Chandigarh,1563795,44132,417953,12218,-73.27,-72.31,1607927,2.744651964921293,0.0029053192057421147,0.10380973654342157,0.002603718784419483,0.0,0.0,,,26.730000000000004,0.3921382152480585,0.0,0.38766067129368786,0.23318942313193688,0.3104250472128124
7,Chhattisgarh,17304506,6817,2810227,2322,-83.76,-65.94,17311323,0.03937885047838342,0.03228063795391059,0.0,0.03228063795391059,0.0,0.0,,,16.239999999999995,0.22586780789348548,0.0,0.38067259754960986,0.214537111461849,0.29760485450572943
8,Dadra & Nagar Haveli,618330,1666,104959,222,-83.03,-86.67,619996,0.2687114110413616,0.0011408921896920068,0.008800203042632,0.001130852106772964,0.0,0.0,,,16.97,0.2374385798066255,0.0,0.3690478699050749,0.2083248375426846,0.28868635372387974
9,Daman & Diu,897804,5703,297436,1382,-66.87,-75.77,903507,0.631207063143949,0.0016624466373802741,0.022710287736855038,0.001624691995898201,0.0,0.0,,,33.129999999999995,0.49358059914407987,0.0,0.4419260720771196,0.2704042182848368,0.3561651451809782
10,Delhi,36467598,2983436,9583671,681230,-73.7,-77.2,39451034,7.562377199036153,0.06804280496787059,0.2886808257587696,0.048400151842802795,6158331.0,581350.0,1347436.0,8832.0,26.299999999999997,0.38532255508004437,0.6715828732670838,0.3562096407835306,0.4550932217916426,0.40565143128758663
